customer_id,customer_segment,campaign_strategy
u13476,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13477,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13479,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13481,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13482,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13483,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13484,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13485,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13486,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13487,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13488,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13489,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13491,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13492,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13493,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13494,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13495,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13496,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13497,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13499,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u135,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13501,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13502,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13503,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13504,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13505,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13506,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13507,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13508,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13509,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1351,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13512,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13513,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13514,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13515,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13516,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13517,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13518,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13519,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1352,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13521,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13522,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13523,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13524,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13525,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13527,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13529,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13531,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13532,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13533,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13534,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13536,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13538,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13539,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13544,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13546,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13548,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13549,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13551,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13552,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13555,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13557,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13558,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1356,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13561,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13562,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13563,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13564,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13565,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13566,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13568,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13569,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1357,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13571,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13572,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13573,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13575,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13576,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13577,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13579,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13581,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13583,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13584,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13587,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13588,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13589,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1359,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13591,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13592,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13593,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13594,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13596,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13598,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13599,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u136,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13601,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13602,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13603,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13606,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13607,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1361,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13611,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13614,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13615,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13617,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13618,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13621,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13623,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13626,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13627,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13629,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1363,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13631,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13632,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13634,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13635,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13636,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13637,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13638,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13639,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13642,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13643,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13644,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13645,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13647,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13649,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1365,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13651,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13652,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13654,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13655,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13656,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13657,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13658,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13659,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13662,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13663,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13666,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13667,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13668,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13669,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1367,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13672,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13673,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13675,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13678,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1368,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13681,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13682,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13684,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13685,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13686,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13689,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1369,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13692,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13693,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13694,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13695,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13697,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13699,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u137,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13703,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13704,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13705,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13706,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13707,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13708,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13709,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1371,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13711,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13712,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13715,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13716,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13717,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13718,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13719,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1372,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13721,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13722,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13723,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13725,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13726,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13727,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13728,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1373,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13731,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13732,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13735,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13736,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13737,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13739,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1374,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13741,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13742,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13743,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13744,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13745,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13747,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13748,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1375,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13751,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13752,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13753,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13754,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13755,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13756,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13758,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13759,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1376,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13761,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13763,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13764,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13767,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13769,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13771,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13772,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13774,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13777,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13778,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1378,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13781,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13782,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13784,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13786,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13787,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1379,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13791,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13792,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13798,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13799,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u138,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13801,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13802,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13803,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13804,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13805,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13806,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13807,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13808,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13809,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1381,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13811,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13812,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13813,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13814,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13815,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13816,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13817,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13819,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13821,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13822,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13823,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13824,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13826,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13827,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13828,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13829,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13831,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13832,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13833,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13835,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13837,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13838,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13841,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u13842,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13844,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13845,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13846,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u13848,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13849,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1385,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13851,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13853,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13854,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13856,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u13858,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u13859,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u1386,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u13862,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
